MODEL_CODE,MODEL_MARKETING_NAME,PRODUCT_LINE,PRODUCT_LINE_DESCRIPTION,PRODUCT_CATEGORY,PRODUCT_SUBCATEGORY,MODEL_YEAR,MODEL_COLOR_NAME,STATE_COMPLIANCE,VISIBILITY_INDICATOR,VISIBILITY_DATE,VISIBILITY_TIME
PZ500D,PHAZER 500,1210,Snowmobile,Trail,,2000,NONE,,X,12/18/1999 00:00:00,0
PZ500DXF,PHAZER 500 DELUXE,1210,Snowmobile,Trail,,2001,NONE,,X,04/01/2003 00:00:00,0
PZ500F,PHAZER 500,1210,Snowmobile,Trail,,2001,NONE,,X,04/01/2003 00:00:00,0
PZ500MLD,PHAZER 500 MT LT,1210,Snowmobile,Mountain,,2000,NONE,,X,12/18/1999 00:00:00,0
PZ500MLF,PHAZER 500 MT LT,1210,Snowmobile,Mountain,,2001,NONE,,X,04/01/2003 00:00:00,0
RS90K,RS VECTOR,1210,Snowmobile,Trail,,2005,NONE,,X,02/07/2004 00:00:00,0
RS90MKL,RS VECTOR MOUNTAIN,1210,Snowmobile,Mountain,,2005,NONE,,X,02/07/2004 00:00:00,0
RS90MKR,RS VECTOR MOUNTAIN,1210,Snowmobile,Mountain,,2005,NONE,,X,02/07/2004 00:00:00,0
RS90MKS,RS VECTOR MOUNTAIN,1210,Snowmobile,Mountain,,2005,NONE,,X,02/07/2004 00:00:00,0
RS90RKL,RS VECTOR ER,1210,Snowmobile,Trail,,2005,NONE,,X,02/07/2004 00:00:00,0
RS90RKR,RS VECTOR ER,1210,Snowmobile,Trail,,2005,NONE,,X,02/07/2004 00:00:00,0
RS90RKS,RS VECTOR ER,1210,Snowmobile,Trail,,2005,NONE,,X,02/07/2004 00:00:00,0
RSG90KL,RS RAGE,1210,Snowmobile,Crossover,,2005,NONE,,X,02/07/2004 00:00:00,0
RSG90KR,RS RAGE,1210,Snowmobile,Crossover,,2005,NONE,,X,02/07/2004 00:00:00,0
RSG90KS,RS RAGE,1210,Snowmobile,Crossover,,2005,NONE,,X,02/07/2004 00:00:00,0
RST90K,RS VENTURE,1210,Snowmobile,2-Up Touring Utility,,2005,NONE,,X,02/07/2004 00:00:00,0
RT100M,RT100,1110,Motorcycle,Off-Road Motorcycle,Off-Road,2000,NONE,,X,06/05/1999 00:00:00,0
CW50M-L,ZUMA II,1610,Scooter,,,2000,NONE,,X,12/09/1999 00:00:00,0
CW50M-R,ZUMA II,1610,Scooter,,,2000,NONE,,X,12/09/1999 00:00:00,0
CW50N-L,ZUMA II,1610,Scooter,,,2001,NONE,,X,06/06/2000 00:00:00,0
CW50N-R,ZUMA II,1610,Scooter,,,2001,NONE,,X,06/06/2000 00:00:00,0
CY50M-B,RIVA JOG,1610,Scooter,,,2000,NONE,,X,06/05/1999 00:00:00,0
CY50M-W,RIVA JOG,1610,Scooter,,,2000,NONE,,X,06/05/1999 00:00:00,0
CY50N-B,RIVA JOG,1610,Scooter,,,2001,NONE,,X,06/06/2000 00:00:00,0
CY50N-W,RIVA JOG,1610,Scooter,,,2001,NONE,,X,06/06/2000 00:00:00,0
DX150TLRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2002,NONE,,,07/01/2001 00:00:00,0
DX150TLRA,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2002,NONE,,,07/01/2001 00:00:00,0
DX150TLRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2003,NONE,,,08/06/2002 00:00:00,0
DX150TLRB,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2003,NONE,,,08/06/2002 00:00:00,0
DX150TLRC,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2004,NONE,,,07/01/2003 00:00:00,0
DX150TLRD,NONE,1810,OUTBOARD MOTORS,,,2005,NONE,,,07/01/2004 00:00:00,0
DX150TLRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2000,NONE,,,04/03/2001 00:00:00,0
DX150TLRY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2000,NONE,,,04/03/2001 00:00:00,0
DX150TLRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2001,NONE,,,10/11/2002 00:00:00,0
DX150TLRZ,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,150-250 HP,2001,NONE,,,10/11/2002 00:00:00,0
RX10H-B,RX-1,1210,Snowmobile,Trail,,2003,NONE,,X,09/01/2004 00:00:00,0
RX10H-L,RX-1,1210,Snowmobile,Trail,,2003,NONE,,X,09/01/2004 00:00:00,0
RX10J-B,RX-1,1210,Snowmobile,Trail,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10J-L,RX-1,1210,Snowmobile,Trail,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10K,RX-1,1210,Snowmobile,Trail,,2005,NONE,,X,02/07/2004 00:00:00,0
RX10MH-B,RX-1 MOUNTAIN,1210,Snowmobile,Mountain,,2003,NONE,,X,09/01/2004 00:00:00,0
RX10MH-L,RX-1 MOUNTAIN,1210,Snowmobile,Mountain,,2003,NONE,,X,09/01/2004 00:00:00,0
RX10MJ-B,RX-1 MOUNTAIN,1210,Snowmobile,Mountain,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10MJ-L,RX-1 MOUNTAIN,1210,Snowmobile,Mountain,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10MJ-R,RX-1 MOUNTAIN,1210,Snowmobile,Mountain,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10MSH,RX-1 MOUNTAIN LE,1210,Snowmobile,Mountain,,2003,NONE,,X,09/01/2004 00:00:00,0
RX10MSJ,RX-1 MOUNTAIN LE,1210,Snowmobile,Mountain,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10MSK,RX-1 MOUNTAIN LE,1210,Snowmobile,Mountain,,2005,NONE,,X,02/07/2004 00:00:00,0
RX10RH-L,RX-1 ER,1210,Snowmobile,Trail,,2003,NONE,,X,09/01/2004 00:00:00,0
RX10RH-R,RX-1 ER,1210,Snowmobile,Trail,,2003,NONE,,X,09/01/2004 00:00:00,0
RX10RJ-B,RX-1 ER,1210,Snowmobile,Trail,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10RJ-L,RX-1 ER,1210,Snowmobile,Trail,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10RJ-R,RX-1 ER,1210,Snowmobile,Trail,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10RKL,RX-1 ER,1210,Snowmobile,Trail,,2005,NONE,,X,02/07/2004 00:00:00,0
RX10RKR,RX-1 ER,1210,Snowmobile,Trail,,2005,NONE,,X,02/07/2004 00:00:00,0
RX10RSH,RX-1 ER LE,1210,Snowmobile,Trail,,2003,NONE,,X,09/01/2004 00:00:00,0
RX10RSJ,RX-1 ER LE,1210,Snowmobile,Trail,,2004,NONE,,X,09/01/2004 00:00:00,0
RX10RSK,RX-1 ER LE,1210,Snowmobile,Trail,,2005,NONE,,X,02/07/2004 00:00:00,0
RX10SJ,RX-1 LE,1210,Snowmobile,Trail,,2004,NONE,,X,09/01/2004 00:00:00,0
RXW10J-L,RX WARRIOR,1210,Snowmobile,Crossover,,2004,NONE,,X,09/01/2004 00:00:00,0
RXW10KL,RX WARRIOR,1210,Snowmobile,Crossover,,2005,NONE,,X,02/07/2004 00:00:00,0
RXW10KR,RX WARRIOR,1210,Snowmobile,Crossover,,2005,NONE,,X,02/07/2004 00:00:00,0
RXW10SJ,RX WARRIOR LE,1210,Snowmobile,Crossover,,2004,NONE,,X,09/01/2004 00:00:00,0
RXW10SK,RX WARRIOR LE,1210,Snowmobile,Crossover,,2005,NONE,,X,02/07/2004 00:00:00,0
E48MLHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,30-60 HP,2000,NONE,,,04/03/2001 00:00:00,0
E60MLHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,30-60 HP,2000,NONE,,,04/05/2001 00:00:00,0
E60MLHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,30-60 HP,2000,NONE,,,04/05/2001 00:00:00,0
E75MLHY,NONE,1810,OUTBOARD MOTORS,INDUSTRY STANDARDS,70-130 HP,2000,NONE,,,04/05/2001 00:00:00,0
EF1000IS,NONE,1160,Power Product,Portable Generator,Inverter Series,2002,NONE,,,11/26/2003 00:00:00,0
EF1000IS,NONE,1160,Power Product,Portable Generator,Inverter Series,2002,NONE,,,11/26/2003 00:00:00,0
EF1000ISC,NONE,1160,Power Product,Portable Generator,Inverter Series,2004,NONE,,,06/01/2008 00:00:00,0
EF1000ISC,NONE,1160,Power Product,Portable Generator,Inverter Series,2004,NONE,,,06/01/2008 00:00:00,0
EF1600C,NONE,1160,Power Product,Portable Generator,Industrial Series,2003,NONE,,,12/02/2003 00:00:00,0
EF2800I,NONE,1160,Power Product,Portable Generator,Inverter Series,2001,NONE,,,12/02/2003 00:00:00,0
EF2800I,NONE,1160,Power Product,Portable Generator,Inverter Series,2001,NONE,,,12/02/2003 00:00:00,0
EF3000ISE,NONE,1160,Power Product,Portable Generator,Inverter Series,2003,NONE,,,10/02/2004 00:00:00,0
EF3000ISE,NONE,1160,Power Product,Portable Generator,Inverter Series,2003,NONE,,,10/02/2004 00:00:00,0
EF3000ISEB,NONE,1160,Power Product,Portable Generator,Inverter Series,2003,NONE,,,12/02/2003 00:00:00,0
EF3000ISEB,NONE,1160,Power Product,Portable Generator,Inverter Series,2003,NONE,,,12/02/2003 00:00:00,0
EF4000DEC,NONE,1160,Power Product,Portable Generator,Industrial Series,2003,NONE,,,06/01/2008 00:00:00,0
EF4000DEX,NONE,1160,Power Product,Portable Generator,Industrial Series,2001,NONE,,,05/02/2001 00:00:00,0
EF5200DEC,NONE,1160,Power Product,Portable Generator,Industrial Series,2003,NONE,,,06/01/2008 00:00:00,0
EF5200DEC,NONE,1160,Power Product,Portable Generator,Industrial Series,2003,NONE,,,06/01/2008 00:00:00,0
EF5200DEY,NONE,1160,Power Product,Portable Generator,Industrial Series,2002,NONE,,,09/12/2001 00:00:00,0
EF6600DEC,NONE,1160,Power Product,Portable Generator,Industrial Series,2003,NONE,,,09/08/2005 00:00:00,0
EF6600DEC,NONE,1160,Power Product,Portable Generator,Industrial Series,2003,NONE,,,09/08/2005 00:00:00,0
EF6600DEY,NONE,1160,Power Product,Portable Generator,Industrial Series,2001,NONE,,,09/12/2001 00:00:00,0
SH50M-R,RIVA RAZZ,1610,Scooter,,,2000,NONE,,X,12/09/1999 00:00:00,0
SH50M-V,RIVA RAZZ,1610,Scooter,,,2000,NONE,,X,12/09/1999 00:00:00,0
