OpportunityId,variable,value,StartDate,StartDateFilter,Period
0061500000SFdWi,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWj,A_StartPipe,67647,5/12/2016,7,Quarter
0061500000SFdWm,A_StartPipe,457324,5/12/2016,7,Quarter
0061500000SFdWg,A_StartPipe,209359,5/12/2016,7,Quarter
0061500000SFdWf,A_StartPipe,315000,5/12/2016,7,Quarter
0061500000TvHNC,A_StartPipe,100000,5/12/2016,7,Quarter
0061500000TBlgx,A_StartPipe,111562,5/12/2016,7,Quarter
0061500000TBlhA,A_StartPipe,60000,5/12/2016,7,Quarter
0061500000TBlhD,A_StartPipe,114581.25,5/12/2016,7,Quarter
0061500000TBlhF,A_StartPipe,126782,5/12/2016,7,Quarter
0061500000SFdWi,A_StartPipe,40000,5/12/2016,7,Quarter
0061500000SFdWj,A_StartPipe,0,5/12/2016,7,Quarter
0061500000SFdWm,A_StartPipe,75000,5/12/2016,7,Quarter
0061500000SFdWg,A_StartPipe,50000,5/12/2016,7,Quarter
0061500000SFdWf,A_StartPipe,50000,5/12/2016,7,Quarter
0061500000TvHNC,A_StartPipe,13750,5/12/2016,7,Quarter
0061500000TBlgx,A_StartPipe,25000,5/12/2016,7,Quarter
0061500000TBlhA,A_StartPipe,32800,5/12/2016,7,Quarter
0061500000TBlhD,A_StartPipe,50750,5/12/2016,7,Quarter
0061500000TBlhF,A_StartPipe,14999,5/12/2016,7,Quarter
0061500000SFdWi,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWj,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWm,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWg,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWi,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWj,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWm,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWg,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWf,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000TvHNC,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000TBlgx,A_StartPipe,40000,5/12/2016,7,Quarter
0061500000TBlhA,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000TBlhD,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000TBlhF,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWi,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWj,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWm,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWg,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWf,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000TvHNC,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000TBlgx,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000TBlhA,A_StartPipe,20000,5/12/2016,7,Quarter
0061500000TBlhD,A_StartPipe,10000,5/12/2016,7,Quarter
0061500000TBlhF,A_StartPipe,100000,5/12/2016,7,Quarter
0061500000SFdWi,A_StartPipe,0,5/12/2016,7,Quarter
0061500000SFdWj,A_StartPipe,45000,5/12/2016,7,Quarter
0061500000SFdWm,A_StartPipe,100000,5/12/2016,7,Quarter
0061500000SFdWg,A_StartPipe,200000,5/12/2016,7,Quarter
0061500000SFdWi,A_StartPipe,30000,5/12/2016,7,Quarter
0061500000SFdWj,A_StartPipe,9583,5/12/2016,7,Quarter
