OpportunityId,variable,value,StartDate,StartDateFilter,Period
0066000000guhU3AAI,A_StartPipe,30000,2016-05-12,7,Quarter
0066000000QJggeAAD,A_StartPipe,67647,2016-05-12,7,Quarter
0066000000QJggPAAT,A_StartPipe,457324,2016-05-12,7,Quarter
0066000000QJggyAAD,A_StartPipe,209359,2016-05-12,7,Quarter
0066000000QKd2pAAD,A_StartPipe,315000,2016-05-12,7,Quarter
0066000000S32VhAAJ,A_StartPipe,100000,2016-05-12,7,Quarter
0066000000S3GwWAAV,A_StartPipe,111562,2016-05-12,7,Quarter
0066000000S3ShzAAF,A_StartPipe,60000,2016-05-12,7,Quarter
0066000000S6WuiAAF,A_StartPipe,114581.25,2016-05-12,7,Quarter
0066000000S6WyTAAV,A_StartPipe,126782,2016-05-12,7,Quarter
0066000000YXV1UAAX,A_StartPipe,40000,2016-05-12,7,Quarter
00660000013EnELAA0,A_StartPipe,0,2016-05-12,7,Quarter
00660000013FW4oAAG,A_StartPipe,75000,2016-05-12,7,Quarter
00660000018zvWYAAY,A_StartPipe,50000,2016-05-12,7,Quarter
006600000191BoxAAE,A_StartPipe,50000,2016-05-12,7,Quarter
0066000001exqKeAAI,A_StartPipe,13750,2016-05-12,7,Quarter
0066000001iarX5AAI,A_StartPipe,25000,2016-05-12,7,Quarter
0066000001iYc6aAAC,A_StartPipe,32800,2016-05-12,7,Quarter
0066000001jAg40AAC,A_StartPipe,50750,2016-05-12,7,Quarter
0066000001jAokyAAC,A_StartPipe,14999,2016-05-12,7,Quarter
0066000001jBGbyAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGcwAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGdpAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGfMAAW,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGiaAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGipAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGj4AAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGjJAAW,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGjOAAW,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGjsAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGkHAAW,A_StartPipe,40000,2016-05-12,7,Quarter
0066000001jBGmNAAW,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGmtAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGnmAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGoGAAW,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGopAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGpnAAG,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGpOAAW,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGXwAAO,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGY6AAO,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBGYQAA4,A_StartPipe,30000,2016-05-12,7,Quarter
0066000001jBR9DAAW,A_StartPipe,20000,2016-05-12,7,Quarter
0066000001jdbkRAAQ,A_StartPipe,10000,2016-05-12,7,Quarter
0066000001jDKVfAAO,A_StartPipe,100000,2016-05-12,7,Quarter
0066000001jDTHAAA4,A_StartPipe,0,2016-05-12,7,Quarter
0066000001jeDLMAA2,A_StartPipe,45000,2016-05-12,7,Quarter
0066000001jeFg6AAE,A_StartPipe,100000,2016-05-12,7,Quarter
